Year,Violent_sum,Property_sum,City
2015,28,290,Vernon
2015,31,322,Walnut
2015,263,2982,West Covina
2015,238,2531,Whittier
2015,433,2146,Carson
2015,41,551,Rancho Palos Verdes
2015,20,287,La Canada-Flintridge
2015,1005,3818,Lancaster
2016,146,2107,Alhambra
2016,83,1642,Arcadia
2016,89,622,Artesia
2016,10,37,Avalon
2016,175,1139,Azusa
2016,291,1514,Baldwin Park
2016,233,782,Bell
2016,392,1990,Bellflower
2016,155,942,Bell Gardens
2016,4,109,La Habra Heights
2016,16,204,Westlake Village
2016,106,1416,Beverly Hills
2016,0,6,Bradbury
2016,210,2927,Burbank
2016,59,960,Claremont
2016,130,1223,Commerce
2016,1129,2528,Compton
2016,164,1289,Covina
2016,76,246,Cudahy
2016,213,2060,Culver City
2016,111,2264,Cerritos
2016,15,253,Agoura Hills
2016,275,1601,West Hollywood
2016,331,3005,Santa Clarita
2016,66,931,Diamond Bar
2016,373,3371,Downey
2016,72,373,Duarte
2016,448,2501,El Monte
2016,53,731,El Segundo
2016,338,1482,Gardena
2016,227,3450,Glendale
2016,70,1361,Glendora
2016,73,305,Hawaiian Gardens
2016,654,2533,Hawthorne
2016,47,539,Hermosa Beach
2016,15,291,Calabasas
2016,38,402,Malibu
2016,1,16,Hidden Hills
2016,463,1988,Huntington Park
2016,96,1175,Industry
2016,830,2456,Inglewood
2016,18,206,Irwindale
2016,223,2521,Lakewood
2016,85,889,La Mirada
2016,131,560,La Puente
2016,41,561,La Verne
2016,194,528,Lawndale
2016,69,347,Lomita
2016,2846,14224,Long Beach
2016,28817,99151,Los Angeles
2016,469,1713,Lynwood
2016,53,1030,Manhattan Beach
2016,122,441,Maywood
2016,60,832,Monrovia
2016,214,1978,Montebello
2016,131,1704,Monterey Park
2016,419,1963,Norwalk
2016,697,2728,Palmdale
2016,4,111,Palos Verdes Estates
2016,313,1744,Paramount
2016,477,3446,Pasadena
2016,220,1621,Pico Rivera
2016,767,4676,Pomona
2016,160,1742,Redondo Beach
2016,0,11,Rolling Hills
2016,11,126,Rolling Hills Estates
2016,167,1249,Rosemead
2016,82,764,San Dimas
2016,132,450,San Fernando
2016,98,655,San Gabriel
2016,15,261,San Marino
2016,112,1184,Santa Fe Springs
2016,475,4039,Santa Monica
2016,25,114,Sierra Madre
2016,69,856,Signal Hill
2016,109,580,South El Monte
2016,660,3435,South Gate
2016,27,667,South Pasadena
2016,49,580,Temple City
2016,258,3221,Torrance
2016,28,376,Vernon
2016,25,516,Walnut
2016,265,2811,West Covina
2016,258,2790,Whittier
2016,505,2424,Carson
2016,27,417,Rancho Palos Verdes
2016,13,303,La Canada-Flintridge
2016,1103,3488,Lancaster
2017,172,1877,Alhambra
2017,110,1534,Arcadia
2017,103,460,Artesia
2017,20,58,Avalon
2017,147,1203,Azusa
2017,348,1405,Baldwin Park
2017,228,652,Bell
2017,363,1988,Bellflower
2017,100,749,Bell Gardens
2017,4,95,La Habra Heights
2017,14,208,Westlake Village
2017,118,1819,Beverly Hills
2017,1,7,Bradbury
2017,253,2944,Burbank
2017,74,940,Claremont
2017,106,1174,Commerce
2017,1164,2583,Compton
2017,172,1180,Covina
2017,74,214,Cudahy
2017,183,1886,Culver City
2017,127,2268,Cerritos
2017,16,278,Agoura Hills
2017,254,1705,West Hollywood
2017,352,3081,Santa Clarita
2017,57,1043,Diamond Bar
2017,382,3222,Downey
2017,64,352,Duarte
2017,451,2816,El Monte
2017,40,687,El Segundo
2017,393,1393,Gardena
2017,274,3118,Glendale
2017,129,1533,Glendora
2017,86,324,Hawaiian Gardens
2017,587,2273,Hawthorne
2017,28,590,Hermosa Beach
2017,30,330,Calabasas
2017,38,366,Malibu
2017,1,12,Hidden Hills
2017,427,1817,Huntington Park
2017,73,928,Industry
2017,785,2760,Inglewood
2017,12,212,Irwindale
2017,318,2422,Lakewood
2017,104,906,La Mirada
2017,148,444,La Puente
2017,92,766,La Verne
2017,178,433,Lawndale
2017,56,402,Lomita
2017,3101,12598,Long Beach
2017,30507,101618,Los Angeles
2017,458,1681,Lynwood
2017,71,875,Manhattan Beach
2017,115,364,Maywood
2017,66,848,Monrovia
2017,203,1644,Montebello
2017,112,1613,Monterey Park
2017,437,1956,Norwalk
2017,681,2659,Palmdale
2017,3,125,Palos Verdes Estates
2017,324,1613,Paramount
2017,574,2946,Pasadena
2017,236,1432,Pico Rivera
2017,853,4484,Pomona
2017,176,1570,Redondo Beach
2017,0,6,Rolling Hills
2017,12,153,Rolling Hills Estates
2017,173,1327,Rosemead
2017,67,735,San Dimas
2017,120,360,San Fernando
2017,114,666,San Gabriel
2017,14,255,San Marino
2017,106,1048,Santa Fe Springs
2017,705,4374,Santa Monica
2017,8,108,Sierra Madre
2017,63,749,Signal Hill
2017,121,684,South El Monte
2017,674,3131,South Gate
2017,18,504,South Pasadena
2017,54,552,Temple City
2017,267,3206,Torrance
2017,35,424,Vernon
2017,43,485,Walnut
2017,275,2733,West Covina
2017,300,2507,Whittier
2017,475,2250,Carson
2017,33,446,Rancho Palos Verdes
2017,16,287,La Canada-Flintridge
2017,1219,3318,Lancaster
2018,193,1930,Alhambra
2018,76,1420,Arcadia
2018,82,335,Artesia
2018,4,41,Avalon
2018,193,1122,Azusa
2018,287,1386,Baldwin Park
2018,184,495,Bell
2018,335,1688,Bellflower
2018,117,633,Bell Gardens
2018,6,66,La Habra Heights
2018,12,200,Westlake Village
2018,106,1757,Beverly Hills
2018,2,13,Bradbury
